alpha,gamma,total_moves,total_reward,penalty,average_reward,reward_ratio,penalty_ratio
0.1,0.1,1255,2177.5,-56.5,2121.0,1.69003984064,0.0450199203187
0.1,0.3,1296,2286.5,-70.5,2216.0,1.70987654321,0.0543981481481
0.1,0.5,1511,2846.5,-212.0,2634.5,1.74354731966,0.14030443415
0.1,0.6,1536,2867.0,-223.0,2644.0,1.72135416667,0.145182291667
0.1,0.7,1483,2821.0,-211.0,2610.0,1.75994605529,0.142279163857
0.1,0.8,1568,2863.5,-233.5,2630.0,1.67729591837,0.148915816327
0.2,0.1,1205,2159.0,-31.0,2128.0,1.76597510373,0.0257261410788
0.2,0.3,1385,2255.0,-43.0,2212.0,1.59711191336,0.0310469314079
0.2,0.5,1560,2933.0,-216.5,2716.5,1.74134615385,0.138782051282
0.2,0.6,1374,2780.5,-183.0,2597.5,1.8904657933,0.133187772926
0.2,0.7,1458,2774.5,-205.5,2569.0,1.76200274348,0.140946502058
0.2,0.8,1556,2873.5,-222.5,2651.0,1.70372750643,0.142994858612
0.3,0.1,1423,2238.0,-28.0,2210.0,1.553056922,0.0196767392832
0.3,0.3,1280,2230.5,-37.5,2193.0,1.71328125,0.029296875
0.3,0.5,1450,2730.0,-171.5,2558.5,1.76448275862,0.118275862069
0.3,0.6,1457,2758.0,-217.5,2540.5,1.74365133837,0.149279341112
0.3,0.7,1326,2679.0,-183.0,2496.0,1.88235294118,0.138009049774
0.3,0.8,1404,2809.0,-187.5,2621.5,1.86716524217,0.133547008547
0.5,0.1,1250,2184.5,-19.5,2165.0,1.732,0.0156
0.5,0.3,1260,2173.5,-30.5,2143.0,1.70079365079,0.0242063492063
0.5,0.5,1404,2788.0,-189.5,2598.5,1.85078347578,0.134971509972
0.5,0.6,1481,2834.0,-207.0,2627.0,1.77380148548,0.139770425388
0.5,0.7,1414,2805.0,-192.5,2612.5,1.84759547383,0.136138613861
0.5,0.8,1336,2663.0,-184.5,2478.5,1.85516467066,0.138098802395
0.6,0.1,1283,2230.0,-18.0,2212.0,1.72408417771,0.0140296180826
0.6,0.3,1174,2207.5,-20.5,2187.0,1.86286201022,0.017461669506
0.6,0.5,1383,2199.5,-24.0,2175.5,1.5730296457,0.0173535791757
0.6,0.6,1248,2368.0,-76.0,2292.0,1.83653846154,0.0608974358974
0.6,0.7,1414,2753.5,-196.0,2557.5,1.80869872702,0.138613861386
0.6,0.8,1365,2727.0,-184.5,2542.5,1.86263736264,0.135164835165
0.9,0.1,1202,2224.5,-19.5,2205.0,1.83444259567,0.0162229617304
0.9,0.3,1292,2218.0,-20.0,2198.0,1.70123839009,0.015479876161
0.9,0.5,1218,2196.0,-21.0,2175.0,1.78571428571,0.0172413793103
0.9,0.6,1352,2277.5,-24.5,2253.0,1.66642011834,0.0181213017751
0.9,0.7,1278,2220.0,-39.0,2181.0,1.70657276995,0.0305164319249
0.9,0.8,1537,2908.5,-214.5,2694.0,1.75276512687,0.139557579701
